2026-08-08 19:46:12,413 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.schemas
2026-08-08 19:46:12,414 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.tables
2026-08-08 19:46:12,414 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.types
2026-08-08 19:46:12,414 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.constraints
2026-08-08 19:46:12,415 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.defaults
2026-08-08 19:46:12,415 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.comments
2026-08-08 19:46:12,687 | INFO |werkzeug |[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-08-08 19:46:12,687 | INFO |werkzeug |[33mPress CTRL+C to quit[0m
2026-08-08 19:46:12,689 | INFO |werkzeug | * Restarting with stat
2026-08-08 19:46:14,068 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.schemas
2026-08-08 19:46:14,068 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.tables
2026-08-08 19:46:14,069 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.types
2026-08-08 19:46:14,069 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.constraints
2026-08-08 19:46:14,069 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.defaults
2026-08-08 19:46:14,069 | INFO |alembic.runtime.plugins |setup plugin alembic.autogenerate.comments
2026-08-08 19:46:14,536 | WARNING |werkzeug | * Debugger is active!
2026-08-08 19:46:14,553 | INFO |werkzeug | * Debugger PIN: 564-188-121
2026-08-08 19:46:16,276 | INFO |werkzeug |127.0.0.1 - - [08/Aug/2026 19:46:16] "GET / HTTP/1.1" 200 -
2026-08-08 19:46:17,042 | INFO |werkzeug |127.0.0.1 - - [08/Aug/2026 19:46:17] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
2026-08-08 19:46:17,082 | INFO |werkzeug |127.0.0.1 - - [08/Aug/2026 19:46:17] "[36mGET /static/css/base/variable.css HTTP/1.1[0m" 304 -
2026-08-08 19:46:17,083 | INFO |werkzeug |127.0.0.1 - - [08/Aug/2026 19:46:17] "[36mGET /static/css/components/forms.css HTTP/1.1[0m" 304 -
2026-08-08 19:46:17,087 | INFO |werkzeug |127.0.0.1 - - [08/Aug/2026 19:46:17] "[36mGET /static/css/pages/errors.css HTTP/1.1[0m" 304 -
2026-08-08 19:46:17,091 | INFO |werkzeug |127.0.0.1 - - [08/Aug/2026 19:46:17] "[36mGET /static/css/components/navbar.css HTTP/1.1[0m" 304 -
2026-08-08 19:46:17,097 | INFO |werkzeug |127.0.0.1 - - [08/Aug/2026 19:46:17] "[36mGET /static/css/components/flash.css HTTP/1.1[0m" 304 -
2026-08-08 19:46:17,098 | INFO |werkzeug |127.0.0.1 - - [08/Aug/2026 19:46:17] "[36mGET /static/js/components/navbar.js HTTP/1.1[0m" 304 -
